Reference,Qty,Value,’P‰¿,
U1,1,ESP32-S3-DevKitC-1,1639,1639
"RV1,RV2",2,10kƒ¶,1,2
"R21,R22,R23,R24,R25,R26",6,47kƒ¶,1.5,9
"R9,R10,R11,R12,R13,R14",6,100kƒ¶,1.5,9
"R3,R4,R5,R6,R7,R8",6,680ƒ¶,1,6
"R1,R2,R15,R16,R17,R18,R19,R20,R27,R28,R29,R30,R31,R32",14,10kƒ¶,1,14
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12",12,2SC1815,5,60
J4,1,Terminal_02,29.75,29.75
"J3,J6",2,Terminal_06,89.25,178.5
"J1,J2,J5",3,Terminal_04,59.5,178.5
D3,1,1N5819,10,10
"D1,D2,D4,D5,D6,D7,D8,D9",8,BZX55C3V6,5,40
PCB,1,,437.8,437.8
,,,,2613.55
